CASE	DICE	PROCESS
1	0.19	complclip
2	0.062	complclip
3	0.06	complclip
4	0	complclip
5	0	complclip
6	0.147	complclip
7	0	complclip
8	0.184	complclip
9	0	complclip
10	0.3	complclip
11	0	complclip
12	0.167	complclip
13	0.3	complclip
14	0.096	complclip
15	0.067	complclip
16	0.18	complclip
17	0.3	complclip
18	0.092	complclip
19	0.073	complclip
20	0.116	complclip
21	0.142	complclip
22	0	complclip
23	0	complclip
24	0.118	complclip
25	0	complclip
26	0.089	complclip
27	0.17	complclip
28	0.18	complclip
29	0.156	complclip
30	0.18	complclip
31	0.083	complclip
32	0.088	complclip
33	0.08	complclip
34	0.152	complclip
35	0.071	complclip
36	0.087	complclip
37	0.09	complclip
38	0	complclip
39	0.16	complclip
40	0	complclip
41	0.173	complclip
42	0.097	complclip
43	0.169	complclip
44	0.117	complclip
45	0.081	complclip
46	0.121	complclip
47	0.083	complclip
48	0.187	complclip
49	0	complclip
50	0.114	complclip
51	0.236	blend
52	0.11	blend
53	0.203	blend
54	0.281	blend
55	0	blend
56	0	blend
57	0.179	blend
58	0.284	blend
59	0.214	blend
60	0.281	blend
61	0.242	blend
62	0.196	blend
63	0.19	blend
64	0.222	blend
65	0.289	blend
66	0.192	blend
67	0.299	blend
68	0.184	blend
69	0.215	blend
70	0.196	blend
71	0	blend
72	0.232	blend
73	0.294	blend
74	0	blend
75	0.16	blend
76	0.201	blend
77	0.202	blend
78	0.281	blend
79	0.284	blend
80	0.19	blend
81	0.199	blend
82	0.228	blend
83	0	blend
84	0.26	blend
85	0.208	blend
86	0	blend
87	0.55	blend
88	0.252	blend
89	0	blend
90	0.18	blend
91	0.223	blend
92	0	blend
93	0	blend
94	0.274	blend
95	0.277	blend
96	0.261	blend
97	0	blend
98	0	blend
99	0.205	blend
100	0.5	blend
