CASE	F1FORMANT	SEX
1	488.57	male
2	557.66	male
3	424.69	male
4	625.95	male
5	531.04	male
6	518.47	male
7	479.09	male
8	492.52	male
9	423.62	male
10	468.68	male
11	489.34	male
12	609.46	male
13	464.05	male
14	401.65	male
15	382.85	male
16	463.27	male
17	631.07	male
18	456.24	male
19	532.31	male
20	496.47	male
21	534.82	male
22	598.73	male
23	392.17	male
24	453.61	male
25	570.24	male
26	359.78	male
27	594.31	male
28	388.67	male
29	382.18	male
30	381.12	male
31	613.11	male
32	475.07	male
33	454.35	male
34	539.55	male
35	647.34	male
36	434.18	male
37	220.16	male
38	530.67	male
39	339.68	male
40	539.18	male
41	367.63	male
42	429.22	male
43	587.55	male
44	396.66	male
45	569.9	male
46	398.6	male
47	510.47	male
48	542.09	male
49	592.24	male
50	515.33	male
51	587.53	male
52	395.89	male
53	528.59	male
54	590.52	male
55	399.9	male
56	464	male
57	380.56	male
58	433.06	male
59	434.88	male
60	545.9	male
61	527.71	female
62	606.89	female
63	814.31	female
64	506.04	female
65	570.93	female
66	630.17	female
67	446.37	female
68	301.94	female
69	415.09	female
70	435.87	female
71	625.01	female
72	447.51	female
73	594.4	female
74	613.46	female
75	432.75	female
76	509.93	female
77	485.74	female
78	673.53	female
79	606.19	female
80	685.25	female
81	312.48	female
82	497.25	female
83	534.24	female
84	611.73	female
85	598.85	female
86	600.51	female
87	613.92	female
88	452.2	female
89	521.14	female
90	715.69	female
91	540.06	female
92	708.96	female
93	494.69	female
94	573.23	female
95	506.24	female
96	442.94	female
97	397.95	female
98	551.1	female
99	506.33	female
100	498.89	female
101	659.2	female
102	558.66	female
103	442.99	female
104	502.13	female
105	197.85	female
106	434.56	female
107	586.88	female
108	383.63	female
109	456.42	female
110	647.25	female
111	510.41	female
112	541.08	female
113	526.97	female
114	530.45	female
115	419.72	female
116	385.49	female
117	633.94	female
118	685.58	female
119	407.03	female
120	613.56	female
