CASE	CONSTRUCTION	GIVENNESS
1	verb-object-particle	given
2	verb-object-particle	given
3	verb-object-particle	given
4	verb-object-particle	given
5	verb-object-particle	given
6	verb-object-particle	given
7	verb-object-particle	given
8	verb-object-particle	given
9	verb-object-particle	given
10	verb-object-particle	given
11	verb-object-particle	given
12	verb-object-particle	given
13	verb-object-particle	given
14	verb-object-particle	given
15	verb-object-particle	given
16	verb-object-particle	given
17	verb-object-particle	given
18	verb-object-particle	given
19	verb-object-particle	given
20	verb-object-particle	given
21	verb-object-particle	given
22	verb-object-particle	given
23	verb-object-particle	given
24	verb-object-particle	given
25	verb-object-particle	given
26	verb-object-particle	given
27	verb-object-particle	given
28	verb-object-particle	given
29	verb-object-particle	given
30	verb-object-particle	given
31	verb-object-particle	given
32	verb-object-particle	given
33	verb-object-particle	given
34	verb-object-particle	given
35	verb-object-particle	given
36	verb-object-particle	given
37	verb-object-particle	given
38	verb-object-particle	given
39	verb-object-particle	given
40	verb-object-particle	given
41	verb-object-particle	given
42	verb-object-particle	given
43	verb-object-particle	given
44	verb-object-particle	given
45	verb-object-particle	given
46	verb-object-particle	given
47	verb-object-particle	given
48	verb-object-particle	given
49	verb-object-particle	given
50	verb-object-particle	given
51	verb-object-particle	given
52	verb-object-particle	given
53	verb-object-particle	given
54	verb-object-particle	given
55	verb-object-particle	given
56	verb-object-particle	given
57	verb-object-particle	given
58	verb-object-particle	given
59	verb-object-particle	given
60	verb-object-particle	given
61	verb-object-particle	given
62	verb-object-particle	given
63	verb-object-particle	given
64	verb-object-particle	given
65	verb-object-particle	given
66	verb-object-particle	given
67	verb-object-particle	given
68	verb-object-particle	given
69	verb-object-particle	given
70	verb-object-particle	given
71	verb-object-particle	given
72	verb-object-particle	given
73	verb-object-particle	given
74	verb-object-particle	given
75	verb-object-particle	given
76	verb-object-particle	given
77	verb-object-particle	given
78	verb-object-particle	given
79	verb-object-particle	given
80	verb-object-particle	given
81	verb-object-particle	given
82	verb-object-particle	given
83	verb-object-particle	given
84	verb-object-particle	given
85	verb-object-particle	given
86	verb-object-particle	new
87	verb-object-particle	new
88	verb-object-particle	new
89	verb-object-particle	new
90	verb-object-particle	new
91	verb-object-particle	new
92	verb-object-particle	new
93	verb-object-particle	new
94	verb-object-particle	new
95	verb-object-particle	new
96	verb-object-particle	new
97	verb-object-particle	new
98	verb-object-particle	new
99	verb-object-particle	new
100	verb-object-particle	new
101	verb-object-particle	new
102	verb-object-particle	new
103	verb-object-particle	new
104	verb-object-particle	new
105	verb-object-particle	new
106	verb-object-particle	new
107	verb-object-particle	new
108	verb-object-particle	new
109	verb-object-particle	new
110	verb-object-particle	new
111	verb-object-particle	new
112	verb-object-particle	new
113	verb-object-particle	new
114	verb-object-particle	new
115	verb-object-particle	new
116	verb-object-particle	new
117	verb-object-particle	new
118	verb-object-particle	new
119	verb-object-particle	new
120	verb-object-particle	new
121	verb-object-particle	new
122	verb-object-particle	new
123	verb-object-particle	new
124	verb-object-particle	new
125	verb-object-particle	new
126	verb-object-particle	new
127	verb-object-particle	new
128	verb-object-particle	new
129	verb-object-particle	new
130	verb-object-particle	new
131	verb-object-particle	new
132	verb-object-particle	new
133	verb-object-particle	new
134	verb-object-particle	new
135	verb-object-particle	new
136	verb-object-particle	new
137	verb-object-particle	new
138	verb-object-particle	new
139	verb-object-particle	new
140	verb-object-particle	new
141	verb-object-particle	new
142	verb-object-particle	new
143	verb-object-particle	new
144	verb-object-particle	new
145	verb-object-particle	new
146	verb-object-particle	new
147	verb-object-particle	new
148	verb-object-particle	new
149	verb-object-particle	new
150	verb-object-particle	new
151	verb-particle-object	given
152	verb-particle-object	given
153	verb-particle-object	given
154	verb-particle-object	given
155	verb-particle-object	given
156	verb-particle-object	given
157	verb-particle-object	given
158	verb-particle-object	given
159	verb-particle-object	given
160	verb-particle-object	given
161	verb-particle-object	given
162	verb-particle-object	given
163	verb-particle-object	given
164	verb-particle-object	given
165	verb-particle-object	given
166	verb-particle-object	given
167	verb-particle-object	given
168	verb-particle-object	given
169	verb-particle-object	given
