CASE	ASSIGNMENT	REGION	MISTAKES
1	oral_exam	centr_eur	18
2	oral_exam	centr_eur	18
3	oral_exam	centr_eur	13
4	oral_exam	centr_eur	12
5	oral_exam	centr_eur	12
6	oral_exam	mid_east	11
7	oral_exam	centr_eur	11
8	oral_exam	hispanic	11
9	oral_exam	centr_eur	11
10	oral_exam	centr_eur	10
11	oral_exam	centr_eur	15
12	oral_exam	centr_eur	18
13	oral_exam	hispanic	17
14	oral_exam	hispanic	11
15	oral_exam	centr_eur	10
16	oral_exam	centr_eur	14
17	oral_exam	centr_eur	12
18	oral_exam	centr_eur	17
19	oral_exam	mid_east	17
20	oral_exam	centr_eur	19
21	oral_exam	centr_eur	13
22	oral_exam	centr_eur	20
23	oral_exam	centr_eur	20
24	oral_exam	mid_east	10
25	oral_exam	hispanic	19
26	oral_exam	mid_east	18
27	oral_exam	hispanic	17
28	oral_exam	hispanic	13
29	oral_exam	centr_eur	15
30	oral_exam	hispanic	14
31	oral_exam	mid_east	16
32	oral_exam	centr_eur	19
33	oral_exam	centr_eur	12
34	oral_exam	hispanic	13
35	oral_exam	centr_eur	17
36	oral_exam	centr_eur	18
37	oral_exam	centr_eur	19
38	oral_exam	centr_eur	15
39	oral_exam	centr_eur	19
40	oral_exam	mid_east	13
41	oral_exam	mid_east	12
42	oral_exam	centr_eur	19
43	oral_exam	centr_eur	11
44	oral_exam	centr_eur	14
45	oral_exam	centr_eur	15
46	oral_exam	centr_eur	14
47	oral_exam	centr_eur	17
48	oral_exam	centr_eur	18
49	oral_exam	centr_eur	19
50	oral_exam	hispanic	18
51	oral_exam	centr_eur	11
52	oral_exam	centr_eur	12
53	oral_exam	hispanic	16
54	oral_exam	centr_eur	19
55	oral_exam	mid_east	16
56	oral_exam	centr_eur	13
57	oral_exam	hispanic	19
58	oral_exam	centr_eur	12
59	oral_exam	hispanic	15
60	oral_exam	centr_eur	10
61	oral_exam	centr_eur	14
62	oral_exam	centr_eur	14
63	oral_exam	hispanic	11
64	oral_exam	centr_eur	16
65	oral_exam	centr_eur	13
66	oral_exam	hispanic	12
67	oral_exam	centr_eur	14
68	oral_exam	hispanic	19
69	oral_exam	centr_eur	20
70	oral_exam	centr_eur	17
71	oral_exam	centr_eur	20
72	oral_exam	centr_eur	15
73	oral_exam	mid_east	14
