CASE	DURATION	POSINTURN	SEX	CLASS	LENGTH	VOWELS	SURPRISAL	FREQ
1	105	2	male	closed	3	one	5	16
2	89	3	male	closed	3	one	6	16
3	78	4	male	closed	2	one	3	18
4	100	5	male	closed	1	one	3	15
5	368	6	male	open	6	two+	8	11
6	251	7	male	closed	2	two+	7	16
7	167	8	male	closed	2	two+	3	16
8	418	9	male	open	4	two+	16	7
9	238	10	male	open	3	two+	6	6
10	419	1	male	closed	1	one	10	12
11	61	2	male	closed	2	one	6	17
12	88	3	male	closed	1	one	1	17
13	209	4	male	closed	2	one	7	14
14	343	5	male	open	7	two+	8	8
15	148	7	male	closed	3	two+	4	17
16	89	8	male	closed	2	one	8	16
17	90	9	male	closed	2	two+	1	16
18	168	1	female	closed	3	two+	5	17
19	289	2	female	propname	5	one	16	5
20	83	3	female	closed	1	one	2	17
21	159	5	female	open	4	one	7	10
22	111	6	female	closed	2	one	0	17
23	151	7	female	open	4	two+	10	11
24	155	8	female	closed	3	one	10	13
25	255	1	male	closed	3	one	5	17
26	165	2	male	closed	1	one	3	18
27	90	3	male	closed	1	one	3	14
28	69	5	male	closed	1	one	4	17
29	305	7	male	open	4	one	10	5
30	174	8	male	closed	2	one	3	17
31	299	10	male	closed	3	one	2	13
32	125	1	female	closed	3	one	5	17
33	246	2	female	closed	1	one	3	18
34	239	4	female	closed	2	one	6	14
35	263	5	female	open	3	one	8	13
36	386	6	female	open	3	two+	11	12
37	179	7	female	closed	3	one	7	13
38	67	8	female	closed	2	one	3	17
39	187	1	female	closed	3	one	5	17
40	86	2	female	closed	1	one	3	18
41	111	4	female	closed	2	two+	0	16
42	386	5	female	open	7	two+	6	12
43	113	6	female	closed	3	two+	4	16
44	143	7	female	closed	2	one	6	15
45	168	8	female	open	3	two+	3	14
46	119	9	female	closed	2	two+	4	17
47	251	10	female	closed	3	one	3	16
48	163	2	male	closed	1	one	3	18
49	198	3	male	open	3	two+	5	13
50	180	4	male	closed	1	one	4	15
51	363	5	male	closed	2	one	4	15
52	83	8	male	closed	2	two+	1	16
53	103	9	male	closed	2	one	5	16
54	366	10	male	closed	2	one	4	17
55	320	1	female	closed	3	one	5	17
56	204	3	female	open	6	two+	17	2
57	117	4	female	open	4	two+	2	13
58	190	5	female	open	4	two+	10	15
59	59	6	female	closed	1	one	4	17
60	220	7	female	open	4	two+	5	13
61	323	8	female	open	4	one	11	8
62	138	9	female	closed	2	one	6	18
63	308	10	female	open	2	two+	3	15
64	289	2	male	open	2	two+	8	14
65	115	3	male	closed	2	two+	6	16
66	183	4	male	closed	3	one	5	14
67	74	5	male	closed	2	one	3	17
68	201	7	male	closed	2	one	6	17
69	559	8	male	propname	4	one	15	8
70	164	9	male	closed	3	two+	7	13
71	245	10	male	closed	2	one	4	16
72	524	1	female	closed	3	one	5	17
73	286	2	female	closed	3	one	4	17
74	247	3	female	closed	1	one	2	17
75	268	4	female	closed	3	one	4	15
76	238	5	female	closed	1	one	4	17
77	194	6	female	open	3	one	6	12
78	219	7	female	closed	3	one	4	15
79	282	8	female	closed	2	one	5	17
80	139	9	female	closed	2	two+	2	18
81	171	2	male	closed	3	one	4	17
82	29	3	male	closed	1	one	5	18
83	108	5	male	closed	2	one	6	17
84	101	8	male	closed	3	one	5	13
85	296	10	male	closed	6	one	3	13
86	30	1	male	closed	3	one	5	17
87	132	2	male	closed	2	two+	4	18
88	107	3	male	open	3	two+	10	8
89	56	5	male	closed	1	one	2	17
90	244	6	male	closed	6	one	11	10
91	115	7	male	closed	2	one	5	17
92	73	8	male	closed	2	one	2	18
93	98	9	male	open	3	two+	10	8
94	237	10	male	open	3	one	8	13
95	109	1	male	closed	3	two+	5	17
96	517	5	male	open	5	two+	1	8
97	115	6	male	closed	2	one	4	16
98	101	7	male	closed	2	one	1	18
99	278	8	male	open	3	one	13	6
100	86	9	male	closed	1	one	5	15
101	377	10	male	closed	6	one	3	13
102	121	1	female	closed	3	one	5	17
103	98	2	female	closed	2	one	4	16
104	75	3	female	closed	1	one	2	15
105	484	4	female	open	4	two+	10	11
106	270	5	female	number	3	one	11	12
107	228	6	female	closed	3	one	7	10
108	393	7	female	number	3	one	5	13
109	70	9	female	closed	1	one	4	17
110	543	10	female	propname	5	one	9	10
111	97	1	female	closed	3	two+	5	17
112	181	2	female	closed	2	one	4	16
113	124	3	female	closed	1	one	4	15
114	217	4	female	open	4	two+	5	15
115	150	5	female	open	3	two+	6	15
116	146	6	female	closed	2	one	7	14
117	281	7	female	open	3	two+	8	11
118	234	8	female	closed	3	one	7	16
119	94	9	female	closed	2	one	3	16
120	181	10	female	closed	2	one	5	16
121	737	1	male	closed	3	two+	5	17
122	120	2	male	open	3	two+	10	15
123	205	6	male	open	4	two+	17	4
124	59	7	male	closed	3	one	1	15
125	323	8	male	closed	6	one	12	8
126	287	9	male	number	4	one	8	13
127	221	10	male	open	3	two+	2	12
128	68	1	female	closed	3	one	5	17
129	83	2	female	closed	2	one	4	18
130	57	3	female	closed	1	one	6	14
131	89	4	female	closed	2	one	2	15
132	206	5	female	open	6	two+	14	4
133	79	7	female	closed	2	one	2	18
134	395	8	female	open	8	two+	15	6
135	134	10	female	closed	3	two+	7	15
136	213	1	male	closed	6	one	13	10
137	80	6	male	closed	2	one	3	16
138	173	7	male	open	4	two+	6	14
139	48	8	male	closed	2	two+	11	13
140	55	9	male	closed	2	one	0	16
141	179	10	male	closed	2	one	5	16
142	55	2	male	closed	2	two+	3	16
143	112	3	male	closed	2	one	4	18
144	228	4	male	closed	5	one	11	12
145	114	5	male	closed	1	one	2	17
146	198	6	male	open	3	two+	14	5
147	24	7	male	closed	2	one	5	17
148	272	8	male	open	4	two+	15	10
149	135	9	male	closed	1	one	3	17
150	161	2	female	closed	2	two+	2	18
151	313	3	female	open	2	two+	9	12
152	106	4	female	closed	2	one	3	17
153	370	6	female	open	5	two+	14	7
154	249	7	female	closed	4	one	6	12
155	245	8	female	open	3	two+	7	11
156	130	9	female	closed	2	one	5	18
157	120	1	female	closed	2	one	7	15
158	214	2	female	open	3	two+	7	12
159	93	3	female	closed	2	one	4	17
160	95	4	female	open	2	two+	4	14
161	158	5	female	closed	3	one	4	13
162	150	7	female	closed	2	two+	7	17
163	107	8	female	closed	3	one	6	15
164	135	9	female	closed	2	two+	2	16
165	151	10	female	closed	2	two+	3	17
166	160	1	male	closed	5	one	8	14
167	105	2	male	closed	2	one	3	16
168	92	3	male	closed	3	one	5	14
169	31	4	male	closed	1	one	2	17
170	454	5	male	open	8	two+	10	9
171	373	7	male	open	5	two+	9	12
172	799	1	male	propname	7	one	19	4
173	135	2	male	closed	2	two+	4	15
174	147	3	male	closed	2	one	4	17
175	71	4	male	closed	2	one	9	13
176	54	5	male	closed	2	two+	0	16
177	375	7	male	propname	7	one	15	4
178	152	8	male	closed	3	two+	4	17
179	224	9	male	closed	1	one	2	17
180	211	10	male	unclear	1	one	6	16
181	194	1	male	open	3	two+	13	9
182	356	3	male	open	3	two+	13	10
183	153	4	male	closed	3	two+	10	14
184	288	5	male	closed	7	one	11	12
185	153	6	male	open	3	one	8	15
186	145	7	male	open	3	two+	11	9
187	438	10	male	open	4	two+	10	10
188	158	1	male	closed	3	two+	7	16
189	236	2	male	open	4	one	8	15
190	159	3	male	closed	3	one	6	17
191	140	4	male	closed	2	two+	4	18
192	165	5	male	closed	3	one	6	14
193	173	6	male	closed	2	one	2	16
194	208	8	male	closed	2	two+	5	15
195	130	9	male	closed	3	one	4	15
196	150	1	male	closed	3	one	7	16
197	217	2	male	open	5	two+	16	4
198	217	4	male	open	5	one	15	4
199	111	5	male	closed	1	one	3	17
200	179	6	male	open	3	two+	7	12
201	93	7	male	closed	1	one	6	18
202	523	8	male	open	6	two+	11	8
203	180	9	male	closed	3	one	2	17
204	59	10	male	closed	1	one	2	17
205	155	1	female	closed	3	one	7	16
206	95	3	female	closed	2	one	3	16
207	46	4	female	closed	2	one	1	16
208	143	5	female	open	4	two+	5	14
209	82	6	female	closed	2	one	1	17
210	241	7	female	open	2	two+	4	14
211	394	8	female	closed	4	two+	7	14
212	259	9	female	number	2	one	9	12
213	77	1	male	closed	3	two+	7	16
214	77	4	male	closed	2	two+	3	16
215	185	5	male	open	4	one	6	12
216	283	6	male	open	3	two+	12	8
217	123	7	male	closed	2	two+	4	18
218	225	9	male	closed	2	two+	8	17
219	428	10	male	number	4	two+	10	13
220	152	1	male	closed	3	one	7	16
221	135	2	male	closed	2	one	6	17
222	64	5	male	closed	2	one	7	14
223	503	6	male	open	6	two+	8	10
224	289	7	male	propname	4	one	10	5
225	156	8	male	closed	2	two+	4	18
226	162	9	male	closed	3	one	4	15
227	483	10	male	open	5	two+	9	8
228	171	1	male	closed	3	one	7	16
229	142	2	male	closed	2	one	3	17
230	110	3	male	closed	1	one	1	17
231	256	7	male	open	6	two+	9	10
232	75	8	male	closed	2	one	0	17
233	189	9	male	closed	2	one	3	15
234	272	10	male	open	2	two+	6	16
235	179	1	male	closed	3	one	7	16
236	202	3	male	closed	2	one	5	16
237	358	4	male	propname	6	one	16	3
238	452	6	male	open	4	two+	10	10
239	111	8	male	closed	1	one	3	15
240	266	2	male	open	3	two+	5	15
241	281	4	male	open	5	two+	7	10
242	125	6	male	open	3	two+	7	13
243	140	7	male	closed	2	two+	5	15
244	163	8	male	closed	1	one	5	17
245	391	9	male	open	5	two+	15	6
246	286	10	male	open	4	two+	2	10
247	124	1	female	closed	3	one	7	16
248	153	2	female	closed	2	one	4	16
249	206	3	female	open	3	two+	5	15
250	197	4	female	closed	2	two+	8	16
251	256	5	female	open	3	two+	5	15
252	150	7	female	closed	3	two+	5	16
253	141	9	female	closed	2	one	7	13
254	123	1	female	closed	3	two+	7	16
255	170	2	female	closed	3	one	6	16
256	417	3	female	propname	3	one	12	10
257	233	4	female	closed	3	one	7	14
258	329	5	female	closed	3	one	8	13
259	163	6	female	closed	2	one	9	15
260	76	7	female	closed	1	one	5	14
261	752	8	female	open	10	two+	14	2
262	96	9	female	closed	3	one	1	13
263	318	2	female	closed	2	one	8	13
264	180	3	female	closed	3	one	4	15
265	97	4	female	closed	2	two+	1	16
266	222	5	female	closed	2	one	6	15
267	284	7	female	closed	2	one	3	16
268	250	8	female	closed	1	one	4	17
269	909	9	female	propname	6	one	9	10
270	290	10	female	open	3	two+	6	15
271	119	1	male	closed	3	one	7	16
272	116	2	male	closed	3	one	8	15
273	82	3	male	closed	1	one	3	17
274	129	4	male	open	3	two+	4	13
275	20	5	male	closed	2	one	2	17
276	227	6	male	open	3	two+	11	8
277	75	7	male	closed	2	one	5	16
278	89	8	male	closed	1	one	4	14
279	182	9	male	open	2	two+	7	15
280	397	10	male	open	6	two+	13	11
281	138	1	male	closed	3	one	7	16
282	164	2	male	closed	2	one	4	18
283	44	3	male	closed	1	one	6	14
284	227	4	male	closed	3	one	3	16
285	173	5	male	closed	2	one	2	17
286	241	6	male	open	3	two+	6	13
287	315	7	male	closed	6	one	8	13
288	110	8	male	closed	2	one	4	17
289	178	9	male	open	3	two+	6	13
290	88	10	male	closed	2	one	5	18
291	171	1	male	closed	3	one	7	16
292	170	2	male	closed	2	one	4	18
293	104	3	male	closed	3	two+	5	16
294	83	5	male	closed	2	one	4	18
295	117	6	male	open	3	two+	6	15
296	163	7	male	closed	2	one	3	18
297	353	8	male	open	7	two+	13	8
298	132	9	male	closed	1	one	6	15
299	487	10	male	closed	6	one	5	12
300	138	5	female	open	2	one	6	14
301	94	6	female	closed	2	two+	4	15
302	132	7	female	closed	2	one	4	18
303	562	8	female	open	4	two+	9	11
304	485	10	female	open	4	two+	10	9
305	134	1	female	closed	2	one	9	13
306	84	2	female	closed	2	two+	0	16
307	193	3	female	open	2	two+	10	9
308	307	4	female	number	3	one	8	14
309	155	5	female	closed	5	one	10	14
310	195	6	female	closed	2	one	3	17
311	339	7	female	open	4	two+	12	8
312	170	8	female	closed	2	one	2	17
313	298	10	female	open	6	one	9	8
314	275	1	male	closed	2	one	14	9
315	420	4	male	open	5	two+	9	9
316	360	5	male	open	4	two+	9	4
317	275	6	male	open	3	two+	3	12
318	210	7	male	closed	1	one	5	18
319	288	8	male	closed	3	two+	7	13
320	196	9	male	closed	3	one	3	16
321	407	10	male	open	4	two+	9	11
322	113	1	male	closed	3	one	9	13
323	68	2	male	closed	1	one	2	18
324	29	3	male	closed	2	two+	3	16
325	21	4	male	closed	2	two+	1	16
326	107	5	male	open	2	one	3	15
327	189	6	male	closed	3	one	9	13
328	90	7	male	closed	2	two+	12	13
329	94	8	male	closed	2	one	0	16
330	117	9	male	closed	2	two+	5	16
331	74	10	male	closed	2	two+	4	17
332	199	3	male	closed	2	one	3	17
333	421	4	male	open	4	two+	13	5
334	284	5	male	closed	3	one	4	17
335	105	6	male	closed	2	one	10	12
336	122	7	male	closed	2	one	0	16
337	190	8	male	open	3	two+	7	14
338	606	10	male	open	5	two+	12	10
339	100	1	female	closed	3	one	9	13
340	258	2	female	closed	2	two+	4	15
341	114	3	female	closed	1	one	2	17
342	105	4	female	open	3	two+	5	15
343	83	5	female	closed	2	one	3	18
344	188	6	female	number	4	one	7	13
345	347	7	female	open	5	two+	9	8
346	150	8	female	closed	3	one	8	14
347	228	10	female	closed	2	one	6	15
348	83	2	female	closed	2	one	3	16
349	100	3	female	closed	1	one	2	15
350	144	4	female	closed	2	two+	5	15
351	325	5	female	open	5	two+	11	12
352	259	6	female	open	5	two+	10	10
353	411	7	female	open	5	two+	10	8
354	533	8	female	open	5	two+	8	12
355	222	10	female	open	2	one	3	15
356	52	3	female	closed	2	one	4	16
357	73	4	female	closed	2	two+	1	16
358	216	5	female	open	4	two+	4	15
359	156	7	female	closed	3	two+	8	13
360	141	9	female	closed	2	one	6	16
361	247	10	female	closed	2	one	6	16
362	126	1	female	closed	3	one	9	14
363	91	2	female	closed	1	one	6	15
364	155	3	female	closed	3	one	4	13
365	300	4	female	open	4	two+	13	5
366	183	5	female	open	3	one	0	7
367	285	6	female	open	3	two+	7	4
368	160	9	female	closed	3	two+	4	13
369	152	10	female	closed	3	two+	7	14
370	172	1	male	closed	2	one	6	16
371	199	2	male	closed	1	one	6	18
372	197	3	male	open	4	two+	6	14
373	225	5	male	open	2	one	8	13
374	174	6	male	open	3	two+	4	12
375	452	7	male	open	8	two+	12	4
376	109	8	male	closed	2	one	4	15
377	430	10	male	number	3	one	4	14
378	99	1	female	closed	2	two+	6	16
379	78	2	female	closed	2	one	1	16
380	133	4	female	closed	1	one	2	17
381	202	5	female	open	3	two+	4	13
382	82	6	female	closed	2	one	0	17
383	288	7	female	open	7	two+	11	10
384	285	8	female	open	4	one	7	14
385	170	9	female	closed	3	one	7	13
386	149	10	female	closed	2	one	3	17
387	92	1	female	closed	2	two+	6	16
388	154	2	female	closed	2	two+	1	16
389	140	4	female	closed	3	one	4	13
390	58	6	female	closed	2	two+	3	17
391	125	8	female	closed	1	one	4	14
392	501	10	female	open	4	two+	10	8
393	83	1	female	closed	2	two+	6	16
394	96	2	female	closed	2	one	1	16
395	91	3	female	closed	2	one	4	18
396	133	4	female	closed	3	one	5	16
397	134	5	female	closed	2	two+	2	17
398	99	6	female	closed	3	one	14	15
399	54	7	female	closed	2	one	3	18
400	92	8	female	open	3	two+	5	15
401	83	9	female	closed	2	two+	4	17
402	176	10	female	closed	3	one	8	13
403	103	1	female	closed	2	two+	6	16
404	71	3	female	open	4	one	5	14
405	100	4	female	closed	3	two+	5	14
406	92	6	female	closed	3	two+	2	17
407	213	7	female	open	4	two+	12	8
408	96	8	female	closed	3	two+	6	15
409	225	9	female	open	3	two+	12	7
410	394	10	female	propname	5	two+	7	8
411	40	1	male	closed	2	two+	6	16
412	51	2	male	closed	2	one	2	18
413	147	3	male	open	4	one	5	14
414	112	4	male	closed	2	two+	5	18
415	198	5	male	open	2	two+	8	11
416	228	6	male	open	3	two+	7	10
417	191	8	male	closed	3	one	7	17
418	206	9	male	open	4	two+	9	10
419	67	10	male	closed	2	two+	2	17
420	63	1	male	closed	2	two+	12	10
421	47	2	male	closed	2	one	0	12
422	94	4	male	closed	2	one	9	14
423	154	5	male	open	3	two+	4	12
424	112	6	male	closed	3	one	7	17
425	73	7	male	closed	1	one	7	14
426	200	8	male	open	3	two+	5	13
427	93	9	male	closed	2	one	8	16
428	357	2	female	open	4	one	6	10
429	211	3	female	number	3	one	10	11
430	281	4	female	number	3	two+	3	12
431	337	5	female	open	4	one	8	10
432	280	6	female	open	3	two+	10	11
433	212	7	female	open	3	two+	8	11
434	271	9	female	open	5	two+	15	8
435	491	10	female	open	5	two+	8	10
436	216	1	male	open	3	one	12	11
437	129	3	male	closed	1	one	9	15
438	121	4	male	closed	2	one	8	16
439	276	5	male	open	4	two+	16	6
440	341	6	male	closed	4	two+	6	13
441	523	7	male	open	7	two+	13	2
442	282	8	male	closed	4	one	2	13
443	94	9	male	closed	1	one	3	17
444	475	10	male	open	3	two+	14	6
445	443	1	female	open	6	two+	20	3
446	48	2	female	closed	1	one	3	17
447	322	3	female	closed	2	one	9	13
448	453	4	female	open	7	one	12	7
449	206	5	female	closed	5	one	5	14
450	190	6	female	closed	2	one	3	18
451	229	7	female	open	2	one	3	15
452	53	8	female	closed	2	one	5	16
453	236	10	female	closed	4	one	4	13
454	291	1	female	unclear	1	one	6	16
455	294	2	female	open	2	two+	8	14
456	108	5	female	closed	2	two+	2	18
457	127	6	female	open	4	two+	7	14
458	164	7	female	closed	2	two+	0	17
459	217	8	female	closed	3	one	5	16
460	130	9	female	closed	2	one	2	17
461	365	10	female	open	5	two+	10	10
462	589	1	male	unclear	1	one	6	16
463	146	2	male	open	4	two+	11	15
464	47	3	male	closed	1	one	3	18
465	35	4	male	closed	1	one	4	14
466	163	5	male	open	3	one	5	14
467	119	7	male	open	3	one	4	13
468	59	8	male	closed	2	one	2	17
469	423	9	male	propname	5	one	17	4
470	442	1	female	unclear	3	one	7	15
471	464	2	female	closed	2	one	7	15
472	139	3	female	closed	1	one	3	18
473	78	4	female	closed	2	two+	3	16
474	142	7	female	closed	2	one	5	16
475	131	8	female	closed	1	one	2	17
476	84	9	female	closed	1	one	3	17
477	514	10	female	open	6	one	15	2
478	246	1	female	unclear	3	one	7	15
479	133	2	female	unclear	1	one	5	16
480	224	3	female	closed	2	one	7	15
481	44	4	female	closed	2	two+	6	16
