CASE	ORDER	CONJ
1	sc-mc	als/when
2	mc-sc	als/when
3	sc-mc	als/when
4	mc-sc	als/when
5	sc-mc	als/when
6	sc-mc	als/when
7	mc-sc	als/when
8	sc-mc	als/when
9	sc-mc	als/when
10	sc-mc	als/when
11	sc-mc	als/when
12	sc-mc	als/when
13	sc-mc	als/when
14	mc-sc	als/when
15	sc-mc	als/when
16	sc-mc	als/when
17	mc-sc	als/when
18	mc-sc	als/when
19	sc-mc	als/when
20	mc-sc	als/when
21	mc-sc	als/when
22	mc-sc	als/when
23	sc-mc	als/when
24	sc-mc	als/when
25	sc-mc	als/when
26	sc-mc	als/when
27	sc-mc	als/when
28	mc-sc	als/when
29	mc-sc	als/when
30	sc-mc	als/when
31	sc-mc	als/when
32	sc-mc	als/when
33	mc-sc	als/when
34	mc-sc	als/when
35	sc-mc	als/when
36	mc-sc	als/when
37	sc-mc	als/when
38	mc-sc	als/when
39	sc-mc	als/when
40	sc-mc	als/when
41	mc-sc	als/when
42	sc-mc	als/when
43	sc-mc	als/when
44	sc-mc	als/when
45	mc-sc	als/when
46	mc-sc	als/when
47	sc-mc	als/when
48	mc-sc	als/when
49	mc-sc	als/when
50	sc-mc	als/when
51	sc-mc	als/when
52	sc-mc	als/when
53	mc-sc	als/when
54	mc-sc	als/when
55	sc-mc	als/when
56	sc-mc	als/when
57	sc-mc	als/when
58	mc-sc	als/when
59	sc-mc	als/when
60	mc-sc	als/when
61	mc-sc	als/when
62	mc-sc	als/when
63	mc-sc	als/when
64	sc-mc	als/when
65	sc-mc	als/when
66	sc-mc	als/when
67	mc-sc	als/when
68	sc-mc	als/when
69	sc-mc	als/when
70	sc-mc	als/when
71	sc-mc	als/when
72	sc-mc	als/when
73	mc-sc	als/when
74	sc-mc	als/when
75	mc-sc	als/when
76	sc-mc	als/when
77	sc-mc	als/when
78	sc-mc	als/when
79	sc-mc	als/when
80	sc-mc	als/when
81	mc-sc	als/when
82	sc-mc	als/when
83	mc-sc	als/when
84	mc-sc	als/when
85	mc-sc	als/when
86	mc-sc	als/when
87	mc-sc	als/when
88	sc-mc	als/when
89	mc-sc	als/when
90	sc-mc	als/when
91	sc-mc	als/when
92	sc-mc	als/when
93	sc-mc	als/when
94	sc-mc	bevor/before
95	sc-mc	bevor/before
96	sc-mc	bevor/before
97	sc-mc	bevor/before
98	sc-mc	bevor/before
99	sc-mc	bevor/before
100	mc-sc	bevor/before
101	mc-sc	bevor/before
102	mc-sc	bevor/before
103	mc-sc	bevor/before
104	mc-sc	bevor/before
105	mc-sc	bevor/before
106	mc-sc	bevor/before
107	mc-sc	bevor/before
108	sc-mc	bevor/before
109	sc-mc	bevor/before
110	mc-sc	bevor/before
111	mc-sc	bevor/before
112	sc-mc	bevor/before
113	sc-mc	bevor/before
114	sc-mc	bevor/before
115	mc-sc	bevor/before
116	mc-sc	bevor/before
117	mc-sc	bevor/before
118	sc-mc	bevor/before
119	mc-sc	bevor/before
120	sc-mc	bevor/before
121	mc-sc	bevor/before
122	sc-mc	bevor/before
123	mc-sc	bevor/before
124	sc-mc	bevor/before
125	mc-sc	bevor/before
126	mc-sc	bevor/before
127	mc-sc	bevor/before
128	mc-sc	bevor/before
129	mc-sc	bevor/before
130	mc-sc	bevor/before
131	mc-sc	bevor/before
132	mc-sc	bevor/before
133	mc-sc	bevor/before
134	mc-sc	bevor/before
135	mc-sc	bevor/before
136	sc-mc	bevor/before
137	sc-mc	bevor/before
138	sc-mc	bevor/before
139	mc-sc	bevor/before
140	mc-sc	nachdem/after
141	sc-mc	nachdem/after
142	sc-mc	nachdem/after
143	sc-mc	nachdem/after
144	mc-sc	nachdem/after
145	mc-sc	nachdem/after
146	sc-mc	nachdem/after
147	mc-sc	nachdem/after
148	sc-mc	nachdem/after
149	sc-mc	nachdem/after
150	mc-sc	nachdem/after
151	sc-mc	nachdem/after
152	mc-sc	nachdem/after
153	mc-sc	nachdem/after
154	mc-sc	nachdem/after
155	sc-mc	nachdem/after
156	sc-mc	nachdem/after
157	sc-mc	nachdem/after
158	sc-mc	nachdem/after
159	mc-sc	nachdem/after
160	sc-mc	nachdem/after
161	mc-sc	nachdem/after
162	mc-sc	nachdem/after
163	mc-sc	nachdem/after
164	sc-mc	nachdem/after
165	sc-mc	nachdem/after
166	sc-mc	nachdem/after
167	mc-sc	nachdem/after
168	sc-mc	nachdem/after
169	mc-sc	nachdem/after
170	sc-mc	nachdem/after
171	sc-mc	nachdem/after
172	mc-sc	nachdem/after
173	sc-mc	nachdem/after
174	mc-sc	nachdem/after
175	sc-mc	nachdem/after
176	sc-mc	nachdem/after
177	sc-mc	nachdem/after
178	sc-mc	nachdem/after
179	sc-mc	nachdem/after
180	sc-mc	nachdem/after
181	sc-mc	nachdem/after
182	sc-mc	nachdem/after
183	sc-mc	nachdem/after
184	sc-mc	nachdem/after
185	mc-sc	nachdem/after
186	mc-sc	nachdem/after
187	sc-mc	nachdem/after
188	sc-mc	nachdem/after
189	sc-mc	nachdem/after
190	mc-sc	nachdem/after
191	sc-mc	nachdem/after
192	mc-sc	nachdem/after
193	mc-sc	nachdem/after
194	sc-mc	nachdem/after
195	sc-mc	nachdem/after
196	mc-sc	nachdem/after
197	sc-mc	nachdem/after
198	sc-mc	nachdem/after
199	mc-sc	nachdem/after
200	mc-sc	nachdem/after
201	sc-mc	nachdem/after
202	mc-sc	nachdem/after
203	mc-sc	nachdem/after
204	sc-mc	nachdem/after
205	mc-sc	weil/because
206	sc-mc	weil/because
207	mc-sc	weil/because
208	mc-sc	weil/because
209	mc-sc	weil/because
210	mc-sc	weil/because
211	mc-sc	weil/because
