CASE	CORPUS	FILE	MATCHLEMMA	COMPLEMENTIZER	TYPE	L1	REGISTER	L_COMP	L_COMPSUBJ	L_COMPREST	L_MATRV2CC	L_MATRBE4S	L_MATRSUBJ	L_MATRS2V	DPCW	DPWC	SURPRISAL
1	ICE-GB	S2A-068	accept	present	obj	English	spoken	115	14	101	0	0	1	0	-0.0067660797	-0.4659454586	6.424231433
2	ICE-GB	S1B-029	accept	absent	obj	English	spoken	33	12	21	0	0	3	0	-0.0067660797	-0.4659454586	13.3190491963
3	ICLE	SPM04051	accept	present	obj	Spanish	written	43	14	29	0	3	2	0	-0.0067660797	-0.4659454586	12.3190491963
4	ICE-GB	S1B-063	accept	present	obj	English	spoken	55	2	53	0	0	1	0	-0.0067660797	-0.4659454586	9.5116942742
5	ICE-GB	S1B-065	accept	present	obj	English	spoken	81	1	80	0	0	1	0	-0.0067660797	-0.4659454586	9.4121586007
6	ICE-GB	S1B-056	accept	present	obj	English	spoken	324	2	322	0	0	2	0	-0.0067660797	-0.4659454586	4.5608259816
7	ICLE	GEBA1022	accept	present	obj	German	written	77	6	71	0	8	2	10	-0.0067660797	-0.4659454586	10.9971211014
8	ICLE	SPM06008	accept	present	obj	Spanish	written	54	3	51	0	0	4	0	-0.0067660797	-0.4659454586	11.3190491963
9	ICE-GB	S1B-044	accept	present	obj	English	spoken	32	11	21	0	0	3	0	-0.0067660797	-0.4659454586	7.9971211014
10	ICE-GB	S1B-022	accept	present	obj	English	spoken	22	5	17	0	0	3	0	-0.0067660797	-0.4659454586	2.4901193686
11	ICE-GB	S1B-059	accept	present	obj	English	spoken	377	25	352	0	13	2	0	-0.0067660797	-0.4659454586	2.3897907877
12	ICE-GB	S1B-058	accept	present	obj	English	spoken	83	5	78	0	0	30	0	-0.0067660797	-0.4659454586	9.7340866956
13	ICLE	GESA5028	accept	present	obj	German	written	44	5	39	0	0	7	0	-0.0067660797	-0.4659454586	9.7340866956
14	ICE-GB	S1B-056	accept	present	obj	English	spoken	59	5	54	0	0	2	0	-0.0067660797	-0.4659454586	9.7340866956
15	ICE-GB	S2A-068	accept	present	obj	English	spoken	86	5	81	0	0	1	0	-0.0067660797	-0.4659454586	9.7340866956
16	ICE-GB	S1B-053	accept	present	obj	English	spoken	116	5	111	0	0	26	0	-0.0067660797	-0.4659454586	9.7340866956
17	ICLE	SPM03011	accept	present	obj	Spanish	written	21	9	12	0	0	4	0	-0.0067660797	-0.4659454586	9.9971211014
18	ICLE	SPM03032	accept	present	obj	Spanish	written	27	4	23	0	120	1	5	-0.0067660797	-0.4659454586	9.9971211014
19	ICE-GB	S1B-058	accept	present	obj	English	spoken	163	4	159	0	0	1	0	-0.0067660797	-0.4659454586	5.2105247395
20	ICE-GB	S1A-075	accept	present	obj	English	spoken	20	4	16	0	0	1	0	-0.0067660797	-0.4659454586	5.2105247395
21	ICE-GB	S1B-022	accept	present	obj	English	spoken	19	3	16	0	0	3	0	-0.0067660797	-0.4659454586	8.1491241949
22	LINDSEI	SP006	accept	present	obj	Spanish	spoken	15	3	12	0	0	3	4	-0.0067660797	-0.4659454586	8.1491241949
23	ICE-GB	S1B-064	accept	present	obj	English	spoken	145	30	115	10	0	3	0	-0.0067660797	-0.4659454586	9.8845187577
24	ICLE	GEAU3047	accept	present	obj	German	written	40	12	28	0	0	3	0	-0.0067660797	-0.4659454586	6.9267317735
25	ICE-GB	W2C-006	accept	present	obj	English	written	44	22	22	0	2	2	0	-0.0067660797	-0.4659454586	3.0893437564
26	ICE-GB	S2B-040	accept	present	obj	English	spoken	59	30	29	0	0	23	0	-0.0067660797	-0.4659454586	3.0893437564
27	ICE-GB	S2A-068	accept	present	obj	English	spoken	75	42	33	0	0	2	0	-0.0067660797	-0.4659454586	3.0893437564
28	ICE-GB	S2B-020	acknowledge	absent	obj	English	spoken	35	8	27	0	0	4	3	-0.0006473496	-0.3199676474	10.5949904779
29	ICE-GB	S1B-056	acknowledge	present	obj	English	spoken	208	36	172	0	0	2	0	-0.0006473496	-0.3199676474	2.1273849278
30	ICE-GB	S2B-020	acknowledge	present	obj	English	spoken	131	2	129	0	0	2	0	-0.0006473496	-0.3199676474	7.6423718442
31	ICE-GB	W2E-005	acknowledge	present	obj	English	written	81	53	28	0	0	2	0	-0.0006473496	-0.3199676474	3.3336191381
32	ICLE	GEBA1027	add	present	obj	German	written	67	1	66	0	0	1	13	-0.0031726021	-0.4617757215	8.8347205722
