CASE	X	Y	SPKR
1	0.0364369	1.0018743	S1
2	0.0649476	1.0366828	S1
3	0.1488957	1.1103161	S1
4	0.2138366	1.1719003	S1
5	0.2859053	1.2361621	S1
6	0.3603498	1.2856973	S1
7	0.4134113	1.3593306	S1
8	0.4387541	1.3981554	S1
9	0.3096641	1.3044403	S1
10	0.1378082	1.1223652	S1
11	0.0316851	0.7716028	S2
12	0.1235528	0.8305095	S2
13	0.1956215	0.9001264	S2
14	0.2954088	0.991164	S2
15	0.3492623	1.0393604	S2
16	0.4268747	1.1036222	S2
17	0.4894398	1.167884	S2
18	0.5939789	1.268293	S2
19	0.7096055	1.3928003	S2
20	0.7301965	1.4142209	S2
21	0.3381748	0.5975604	S3
22	0.3714373	0.6323689	S3
23	0.4379622	0.6926144	S3
24	0.4783523	0.7314392	S3
25	0.5219102	0.7689253	S3
26	0.5535888	0.7997174	S3
27	0.5931869	0.8425586	S3
28	0.6422886	0.909498	S3
29	0.6700073	0.9429676	S3
30	0.7262367	1.0058907	S3
