CASE	X	Y	SPKR
1	0.004231709	0.8084461	S1
2	0.017910436	0.8577675	S1
3	0.052633358	0.9564102	S1
4	0.073677553	1.0216417	S1
5	0.08840849	1.067781	S1
6	0.110504895	1.1600597	S1
7	0.1326013	1.2380193	S1
8	0.175741901	1.3812104	S1
9	0.18100295	1.4034845	S1
10	0.069468714	0.9818664	S1
11	0.002127289	0.8132191	S2
12	0.050528938	0.8593585	S2
13	0.108400476	0.9054978	S2
14	0.155749915	0.9516372	S2
15	0.259918682	1.0439158	S2
16	0.310424751	1.1091473	S2
17	0.356721981	1.1648327	S2
18	0.413541308	1.2252912	S2
19	0.625035472	1.3430261	S2
20	0.657653974	1.3828014	S2
21	0.003179499	0.8116281	S3
22	0.143123398	0.8466304	S3
23	0.190472838	0.8673135	S3
24	0.260970892	0.8879967	S3
25	0.319894639	0.9086798	S3
26	0.366191869	0.934136	S3
27	0.473517265	0.9818664	S3
28	0.54296311	1.0120956	S3
29	0.58715592	1.0391428	S3
30	0.640818618	1.0741451	S3
