CASE	ORDER	SCTYPE	CONJ	LENMC	LENSC	LENDIFF	MORETHAN2CL
1	sc-mc	temp	als/when	4	10	-6	no
2	mc-sc	temp	als/when	7	6	1	no
3	sc-mc	temp	als/when	12	7	5	yes
4	mc-sc	temp	als/when	6	15	-9	no
5	sc-mc	temp	als/when	9	5	4	yes
6	sc-mc	temp	als/when	9	5	4	yes
7	mc-sc	temp	als/when	9	12	-3	no
8	sc-mc	temp	als/when	4	2	2	yes
9	sc-mc	temp	als/when	6	24	-18	no
10	sc-mc	temp	als/when	4	11	-7	no
11	sc-mc	temp	als/when	15	4	11	yes
12	sc-mc	temp	als/when	11	3	8	no
13	sc-mc	temp	als/when	10	11	-1	yes
14	mc-sc	temp	als/when	5	11	-6	yes
15	sc-mc	temp	als/when	6	6	0	yes
16	sc-mc	temp	als/when	9	11	-2	no
17	mc-sc	temp	als/when	10	11	-1	no
18	mc-sc	temp	als/when	8	7	1	no
19	sc-mc	temp	als/when	13	7	6	no
20	mc-sc	temp	als/when	6	13	-7	no
21	mc-sc	temp	als/when	14	4	10	yes
22	mc-sc	temp	als/when	5	3	2	yes
23	sc-mc	temp	als/when	6	4	2	yes
24	sc-mc	temp	als/when	10	5	5	yes
25	sc-mc	temp	als/when	14	20	-6	yes
26	sc-mc	temp	als/when	11	5	6	no
27	sc-mc	temp	als/when	7	3	4	yes
28	mc-sc	temp	als/when	4	5	-1	yes
29	mc-sc	temp	als/when	2	9	-7	no
30	sc-mc	temp	als/when	7	6	1	yes
31	sc-mc	temp	als/when	24	8	16	yes
32	sc-mc	temp	als/when	4	10	-6	no
33	mc-sc	temp	als/when	5	17	-12	yes
34	mc-sc	temp	als/when	6	11	-5	no
35	sc-mc	temp	als/when	5	9	-4	yes
36	mc-sc	temp	als/when	4	6	-2	yes
37	sc-mc	temp	als/when	18	18	0	yes
38	mc-sc	temp	als/when	11	15	-4	yes
39	sc-mc	temp	als/when	5	4	1	no
40	sc-mc	temp	als/when	10	20	-10	yes
41	mc-sc	temp	als/when	3	14	-11	no
42	sc-mc	temp	als/when	5	3	2	no
43	sc-mc	temp	als/when	10	12	-2	no
44	sc-mc	temp	als/when	8	11	-3	yes
45	mc-sc	temp	als/when	4	4	0	yes
46	mc-sc	temp	als/when	5	10	-5	yes
47	sc-mc	temp	als/when	4	4	0	yes
48	mc-sc	temp	als/when	6	5	1	no
49	mc-sc	temp	als/when	6	7	-1	no
50	sc-mc	temp	als/when	18	7	11	yes
51	sc-mc	temp	als/when	3	4	-1	yes
52	sc-mc	temp	als/when	10	7	3	yes
53	mc-sc	temp	als/when	10	4	6	no
54	mc-sc	temp	als/when	4	7	-3	yes
55	sc-mc	temp	als/when	10	22	-12	yes
56	sc-mc	temp	als/when	10	7	3	no
57	sc-mc	temp	als/when	7	12	-5	yes
58	mc-sc	temp	als/when	8	22	-14	yes
59	sc-mc	temp	als/when	15	6	9	yes
60	mc-sc	temp	als/when	6	9	-3	yes
61	mc-sc	temp	als/when	11	2	9	no
62	mc-sc	temp	als/when	10	6	4	no
63	mc-sc	temp	als/when	7	17	-10	yes
