CASE	CLASS	SEX	AGE	SURVIVED
1	3rd	male	child	no
2	3rd	male	child	no
3	3rd	male	child	no
4	3rd	male	child	no
5	3rd	male	child	no
6	3rd	male	child	no
7	3rd	male	child	no
8	3rd	male	child	no
9	3rd	male	child	no
10	3rd	male	child	no
11	3rd	male	child	no
12	3rd	male	child	no
13	3rd	male	child	no
14	3rd	male	child	no
15	3rd	male	child	no
16	3rd	male	child	no
17	3rd	male	child	no
18	3rd	male	child	no
19	3rd	male	child	no
20	3rd	male	child	no
21	3rd	male	child	no
22	3rd	male	child	no
23	3rd	male	child	no
24	3rd	male	child	no
25	3rd	male	child	no
26	3rd	male	child	no
27	3rd	male	child	no
28	3rd	male	child	no
29	3rd	male	child	no
30	3rd	male	child	no
31	3rd	male	child	no
32	3rd	male	child	no
33	3rd	male	child	no
34	3rd	male	child	no
35	3rd	male	child	no
36	3rd	female	child	no
37	3rd	female	child	no
38	3rd	female	child	no
39	3rd	female	child	no
40	3rd	female	child	no
41	3rd	female	child	no
42	3rd	female	child	no
43	3rd	female	child	no
44	3rd	female	child	no
45	3rd	female	child	no
46	3rd	female	child	no
47	3rd	female	child	no
48	3rd	female	child	no
49	3rd	female	child	no
50	3rd	female	child	no
51	3rd	female	child	no
52	3rd	female	child	no
53	1st	male	adult	no
54	1st	male	adult	no
55	1st	male	adult	no
56	1st	male	adult	no
57	1st	male	adult	no
58	1st	male	adult	no
59	1st	male	adult	no
60	1st	male	adult	no
61	1st	male	adult	no
62	1st	male	adult	no
63	1st	male	adult	no
64	1st	male	adult	no
65	1st	male	adult	no
66	1st	male	adult	no
67	1st	male	adult	no
68	1st	male	adult	no
69	1st	male	adult	no
70	1st	male	adult	no
71	1st	male	adult	no
72	1st	male	adult	no
73	1st	male	adult	no
74	1st	male	adult	no
75	1st	male	adult	no
76	1st	male	adult	no
77	1st	male	adult	no
78	1st	male	adult	no
79	1st	male	adult	no
80	1st	male	adult	no
81	1st	male	adult	no
82	1st	male	adult	no
83	1st	male	adult	no
